,100 Bytes,500 Bytes,1000 Bytes,2000 Bytes,3000 Bytes,4000 Bytes,5000 Bytes,6000 Bytes,7000 Bytes
222,6.749,6.911,6.996,7.26,7.647,9.17,8.61,8.502,10.202
223,6.748,5.93,5.918,6.232,7.598,9.307,9.596,8.66,10.013
224,6.738,5.948,5.934,6.195,8.63,9.297,9.648,9.691,8.833
225,5.701,6.028,7.259,6.217,6.622,8.294,8.626,9.753,8.908
226,5.753,6.978,6.869,7.167,6.493,8.31,8.334,8.262,10.089
227,5.774,6.942,6.912,7.212,7.642,8.326,8.607,8.29,10.221
228,6.689,5.854,5.853,6.281,7.582,9.524,9.288,8.504,10.213
229,6.684,5.929,5.841,6.26,7.668,9.129,9.658,9.547,10.185
230,5.721,5.932,5.869,6.219,6.543,7.955,8.559,9.554,9.21
231,5.697,6.908,6.938,7.28,6.278,7.966,8.598,9.236,10.065
232,5.704,6.855,7.016,7.195,7.45,8.202,8.632,8.25,10.203
233,6.674,5.835,5.933,6.123,7.543,9.197,9.621,9.335,10.069
234,6.669,5.837,5.811,6.175,7.494,9.529,9.664,9.313,9.164
235,5.645,5.829,5.887,6.175,6.284,8.333,8.639,9.301,9.214
236,5.633,6.854,6.875,7.225,6.519,8.299,8.555,8.644,11.106
237,5.665,6.893,6.918,7.227,7.566,8.541,8.697,8.505,10.082
238,6.652,5.88,5.99,6.31,7.559,9.574,9.57,9.693,8.893
239,6.74,5.988,5.807,6.308,7.635,9.239,9.653,9.686,8.804
240,5.701,5.911,6.028,6.281,6.537,7.931,8.605,9.733,9.909
241,5.684,6.856,7.031,7.339,6.625,7.875,8.635,8.672,10.009
242,5.646,6.855,7.336,7.222,7.598,7.974,8.626,9.686,8.928
243,6.7,5.857,6.04,7.256,7.304,9.099,9.645,9.679,8.942
244,6.671,5.888,5.964,6.179,7.49,9.097,9.637,8.648,8.937
245,6.66,5.947,5.988,6.335,6.63,8.339,8.554,8.633,9.859
246,5.668,6.983,6.935,7.31,6.26,8.236,8.268,9.545,9.965
247,5.664,6.948,6.909,7.256,6.282,8.018,8.26,9.559,8.914
248,6.656,6.922,5.858,7.295,7.623,9.174,9.221,9.67,9.995
249,6.681,5.966,5.851,6.231,7.66,9.521,9.189,8.605,9.953
250,6.687,5.885,5.864,6.162,6.271,9.287,9.274,8.307,10.867
251,5.69,6.934,6.92,7.153,6.561,8.322,8.291,8.276,8.785
252,5.66,6.874,6.938,7.124,6.554,8.167,8.276,9.672,9.107
253,6.684,6.834,6.947,7.174,7.58,9.193,9.272,9.269,10.132
254,6.678,5.814,5.877,6.252,7.611,9.249,9.673,8.628,10.085
255,6.727,5.833,5.86,6.223,6.855,9.391,9.565,8.62,9.872
256,5.705,6.841,6.847,7.23,6.595,8.569,8.534,8.612,8.969
257,5.706,6.895,7.074,7.215,6.59,8.237,8.589,9.308,8.982
258,6.671,6.891,6.952,7.263,7.617,9.547,9.654,9.591,10.074
259,6.678,5.911,5.686,6.238,7.442,9.165,9.623,8.23,10.351
